,X,person,speech,syllables,wordsyl,wc
6298,6298,Bernie Sanders,And what that poll said is that Bernie Sanders ran significantly better against Donald Trump than did Hillary Clinton.,31,19,1.631578947
7430,7430,Ted Cruz,"We got a Republican House, weâ€™ve got a Republican Senate, and we donâ€™t have leaders who honor their commitments.",31,19,1.631578947
8161,8161,Marco Rubio,This is the most sophisticated terror group that has ever threatened the world or the United States of America.,31,19,1.631578947
8200,8200,Marco Rubio,"And the terrorists that attacked us in San Bernardino was an American citizen, born and raised in this country.",31,19,1.631578947
8354,8354,Marco Rubio,And that means all this automation that's replacing jobs and people right now is only going to be accelerated.,31,19,1.631578947
8710,8710,Marco Rubio,"Because in my years in the Senate, Iâ€™ve figured out very quickly that the political establishment in Washington, D.",31,19,1.631578947
9317,9317,Ben Carson,"You know, and I've had a lot of experience building things, organizing things, you know, a national scholarship program.",31,19,1.631578947
9902,9902,Chris Christie,"They don't like somebody else like David Petraeus, they prosecute them and send a decorated general on to disgrace.",31,19,1.631578947
11110,11110,Rand Paul,"Well, Iâ€™m glad weâ€™re having a discussion about taxes because everybody laments that we lose jobs overseas, we have.",31,19,1.631578947
11169,11169,Rand Paul,"And thatâ€™s what that means if youâ€™re against allowing people use medical marijuana, youâ€™ll actually put them in jail.",31,19,1.631578947
11424,11424,Jeb Bush,Career civil service reform would allow the next president to fire people that are -- that are showing sheer incompetence.,31,19,1.631578947
12446,12446,Jeb Bush,"And frankly, fixing our immigration system and turning it into an economic driver is part of this as well.",31,19,1.631578947
14289,14289,Martin O'Malley,"I believe that actually affordable college, debt-free college is the goal that we need to attain as a nation.",31,19,1.631578947
407,407,Donald Trump,"Your brother â€” and your brotherâ€™s administration gave us Barack Obama, because it was such a disaster, those last three months, that Abraham Lincoln couldnâ€™t have been elected.",44,27,1.62962963
2428,2428,Hillary Clinton,"Free college, a single payer system for health, and it's been estimated were looking at eighteen to $twenty trillion, about a forty percent in the federal budget.",44,27,1.62962963
5322,5322,Bernie Sanders,"And we all know, no argument, the secretary is absolutely right, Assad is a butcher of his own people, man using chemical weapons against his own people.",44,27,1.62962963
6716,6716,Ted Cruz,"I have introduced legislation that would phase out the ethanol mandate over five years, but that is in the context of having no mandates whatsoever for anyone.",44,27,1.62962963
7073,7073,Ted Cruz,One of the things we've seen here is how easy it is for Barack Obama and Hillary Clinton to get distracted from dealing with radical Islamic terrorism.,44,27,1.62962963
7660,7660,Marco Rubio,"We should be putting people into Guantanamo, not emptying it out, and we shouldn't be releasing these killers who are rejoining the battlefield against the United States.",44,27,1.62962963
11606,11606,Jeb Bush,"In this administration, every weapon system has been gutted, in this administration, the force levels are going down to a level where we can't even project force.",44,27,1.62962963
13639,13639,Martin O'Malley,"Things we used to do, Democrats and Republicans together all the time, like keeping the minimum wage above the poverty line, paying overtime pay for overtime work.",44,27,1.62962963
6569,6569,Ted Cruz,"And the proper approach is a president and commander in chief that defends this country and that goes after -- goes after the terrorists, rather than showing them weakness and encouraging them to target more Americans.",57,35,1.628571429
12627,12627,John Kasich,"We cannot fix things in this country -- the Social Security, the border, balancing the budget, getting wages to grow faster -- unless we lead as conservatives, but we also invite people in from the other party.",57,35,1.628571429
14163,14163,Martin O'Malley,"John, the world is a very dangerous place, but the world is not too dangerous of a place for the United States of America, provided we act according to our principles, provided we act intelligently.",57,35,1.628571429
8371,8371,Marco Rubio,"And we lose that competition because we have the highest business tax rate in the industrialized world, because we have regulations that continue to grow by the billions every single week, because we have a crazy health care law that discourages companies from hiring people, but because we're not fully utilizing our energy resources, that if we did, it would bring back all kinds of growth, especially in manufacturing, and because we have an outdated higher education system.",127,78,1.628205128
5806,5806,Bernie Sanders,"So, what Democratic Socialis means to me in its essence is that we cannot continue to have a government dominated by the billionaire class, and a congress that continues to work for the interest of the people on top while ignoring working families.",70,43,1.627906977
4521,4521,Bernie Sanders,"If you look at history, John, you will find that regime change â€” whether it was in the early â€™fiftys in Iran, whether it was toppling Salvador Allende in Chile, whether it is overthrowing the government of Guatemala way back when â€” these invasions, these toppling of governments, regime changes have unintended consequences.",83,51,1.62745098
4783,4783,Bernie Sanders,"Fourthly, I work -- look forward to working with Secretary Clinton for an investigation, an independent investigation, about all of the breaches that have occurred from day one in this campaign, because I am not convinced that information from our campaign may not have ended up in her campaign.",78,48,1.625
14175,14175,Martin O'Malley,"These are American soldiers and we fail them when we fail to take into account what happens the day after a dictator falls and when we fail to act with a whole of government approach with sustainable development, diplomacy, and our economic power in alignment with our principles.",78,48,1.625
10007,10007,Chris Christie,"The fact is, for seven years, I had to make these decisions after nine/eleven, make a decision about how to proceed forward with an investigation or how to pull back, whether you use certain actionable intelligence or whether not to.",65,40,1.625
2233,2233,Hillary Clinton,"And I would hope, Senator Sanders, that you would join the Democrats who are trying to close the Charleston loophole, that you would sponsor or co-sponsor legislation to remove the absolute immunity.",52,32,1.625
2559,2559,Hillary Clinton,"Now, I am pleased to hear that Senator Sanders has reversed his position on immunity and I look forward to him joining with those members of congress who have already introduced legislation.",52,32,1.625
697,697,Donald Trump,"And as you understand, I mean, you understand very well from the Wall Street Journal, currency manipulation is the single great weapon people have.",39,24,1.625
1741,1741,Hillary Clinton,We can never let the American taxpayer and middle class families ever have to bail out the kind of speculative behavior that we saw.,39,24,1.625
1788,1788,Hillary Clinton,"It would be very difficult to administer, it needs to be part of a comprehensive immigration reform, when we finally do get to it.",39,24,1.625
3635,3635,Hillary Clinton,The idea of having everybody register concerns me a little bit unless we have a better idea of where that's going to come out.,39,24,1.625
3888,3888,Hillary Clinton,You deserve answers about marijuana and we deserve more treatment for people who are addicted to drugs and alcohol for other kinds of challenges.,39,24,1.625
6111,6111,Bernie Sanders,"And it was a great group and we got involved in trying to desegregate the housing owned by the University of Chicago, segregated housing.",39,24,1.625
6155,6155,Bernie Sanders,I won more amendments than any other member of the House of Representatives because I reached out where there was common ground with Republicans.,39,24,1.625
10604,10604,Chris Christie,That woman should not have to deliver that child if they believe that violation is now an act of self-defense by terminating that pregnancy.,39,24,1.625
10688,10688,Rand Paul,"But I think on the broader question of religion and politics, you know, I think liberty, itself requires a virtue -- requires a virtuous people.",39,24,1.625
12404,12404,Jeb Bush,"Knowing what we know now, with faulty intelligence, and not having security be the first priority when â€” when we invaded, it was a mistake.",39,24,1.625
13126,13126,John Kasich,"One more time in America, we need to revive the concept of citizenship, where everybodyâ€™s actions make a huge difference in changing the world.",39,24,1.625
13569,13569,Martin O'Malley,"So we need to - we need to push the insurance companies to actually offer products that pay for those early, those first out-of-pocket expenses.",39,24,1.625
2044,2044,Hillary Clinton,"So, I represented New York, and I represented New York on nine/eleven when we were attacked.",26,16,1.625
2218,2218,Hillary Clinton,"I think what is creating much deeper, closer relations and, yes, coalitions within our own country.",26,16,1.625
2457,2457,Hillary Clinton,"So this is a major epidemic, and it has hit New Hampshire and Vermont particularly hard.",26,16,1.625
2692,2692,Hillary Clinton,We got Russia to sign on to our sanctions against Iran and other very important commitments.,26,16,1.625
3465,3465,Hillary Clinton,"But instead, you know, we had Reconstruction, we had the re-instigation of segregation and Jim Crow.",26,16,1.625
3595,3595,Hillary Clinton,But the issue is whether the medical professionals want to be involved or just be counselors.,26,16,1.625
3732,3732,Hillary Clinton,"And then I did have, as you all remember, a really tough campaign against then-Senator Obama.",26,16,1.625
4081,4081,Bernie Sanders,"Youâ€™re talking about groups of people trying to overthrow Assad, other groups of people fighting ISIS.",26,16,1.625
4084,4084,Bernie Sanders,We should be putting together a coalition of Arab countries who should be leading the effort.,26,16,1.625
4220,4220,Bernie Sanders,I think â€” I think that there is profound frustration all over this country with establishment politics.,26,16,1.625
4322,4322,Bernie Sanders,"Youâ€™re talking about groups of people trying to overthrow Assad, other groups of people fighting ISIS.",26,16,1.625
4325,4325,Bernie Sanders,We should be putting together a coalition of Arab countries who should be leading the effort.,26,16,1.625
4461,4461,Bernie Sanders,I think â€” I think that there is profound frustration all over this country with establishment politics.,26,16,1.625
4513,4513,Bernie Sanders,"But, of course, international terrorism is a major issue that we have got to address today.",26,16,1.625
4657,4657,Bernie Sanders,"But at the end of the day, Wall Street today has enormous economic and political power.",26,16,1.625
4808,4808,Bernie Sanders,"Well, I think there are some differences of opinion here, perhaps between the secretary and myself.",26,16,1.625
5308,5308,Bernie Sanders,"I think the vacuum was created by the disastrous war in Iraq, which I vigorously opposed.",26,16,1.625
5344,5344,Bernie Sanders,"Unfortunately, much of that budget continues to fight the old Cold War with the Soviet Union.",26,16,1.625
5963,5963,Bernie Sanders,A couple of years ago I was very proudly the chairman of the Senate Veterans Committee.,26,16,1.625
7500,7500,Marco Rubio,"Under Chris Christie's governorship of New Jersey, they've been downgraded nine times in their credit rating.",26,16,1.625
7601,7601,Marco Rubio,"We have an economy today, an economy today that is not creating jobs that pay enough.",26,16,1.625
8678,8678,Marco Rubio,"A gangster in Moscow is not just threatening Europe, heâ€™s threatening to destroy and divide NATO.",26,16,1.625
9746,9746,Chris Christie,The middle class in this country whoâ€™s getting plowed over by Barack Obama and Hillary Clinton.,26,16,1.625
9815,9815,Chris Christie,Harvard and Dartmouth says that Social Securityâ€™s going to go insolvent in seven to eight years.,26,16,1.625
10340,10340,Chris Christie,It's making everybody nervous to get out of their cars if you're a law enforcement officer.,26,16,1.625
10560,10560,Chris Christie,"Sixteen-year-old, heroin-addicted drug girl on the floor of the county lockup, I'm pro-life for her life.",26,16,1.625
11020,11020,Rand Paul,"In fact, it's the chief argument by democrats against many of the different flat tax proposals.",26,16,1.625
11592,11592,Jeb Bush,"I have a proven record as governor of the state of Florida, as a conservative leader.",26,16,1.625
11595,11595,Jeb Bush,"As president I will restore and rebuild our military, restore the alliances and keep us safe.",26,16,1.625
12397,12397,Jeb Bush,"We need to be much more strategic on how we deal with border enforcement, border security.",26,16,1.625
12740,12740,John Kasich,"Everybody is under fire and under attack, and we have to stand together as an alliance.",26,16,1.625
12848,12848,John Kasich,I believe in the PTT because it's important those countries in Asia are interfacing against China.,26,16,1.625
12936,12936,John Kasich,And the people in San Bernardino were communicating with people who the FBI had been watching.,26,16,1.625
13329,13329,John Kasich,"You have got to pick somebody who has experience, somebody that has the know-how, the discipline.",26,16,1.625
13397,13397,John Kasich,"We will renew America if we work together, and I am totally confident that we will.",26,16,1.625
13865,13865,Martin O'Malley,"Here in the homeland, unlike combating ISIL abroad, we're almost like it's -- your body's immune system.",26,16,1.625
14048,14048,Martin O'Malley,"But unlike either of these two fine people, I've actually balanced a budget every single year.",26,16,1.625
14082,14082,Martin O'Malley,"In our own city, I mentioned before, we had become the most addicted city in America.",26,16,1.625
14337,14337,Martin O'Malley,The sort of action that will actually make wages go up again for all American families.,26,16,1.625
8,8,Donald Trump,I want to run as the Republican nominee.,13,8,1.625
62,62,Donald Trump,But they have total control of the politicians.,13,8,1.625
337,337,Donald Trump,Now one other company before that was Lucent.,13,8,1.625
404,404,Donald Trump,"I think itâ€™s important, because itâ€™s about judgment.",13,8,1.625
594,594,Donald Trump,We're going to bring jobs and manufacturing back.,13,8,1.625
1159,1159,Donald Trump,"He just writes out an order, executive order.",13,8,1.625
1175,1175,Donald Trump,"Look, we have to stop with political correctness.",13,8,1.625
1667,1667,Hillary Clinton,The president has made a very tough decision.,13,8,1.625
2125,2125,Hillary Clinton,"So, your original question is the right question.",13,8,1.625
2498,2498,Hillary Clinton,"Now, I understand that this is very difficult.",13,8,1.625
2614,2614,Hillary Clinton,Now we've got to get individual costs down.,13,8,1.625
2742,2742,Hillary Clinton,I want to get the economy going again.,13,8,1.625
2935,2935,Hillary Clinton,Iâ€™m very pleased we got that nuclear agreement.,13,8,1.625
3325,3325,Hillary Clinton,"He said many, many smart things about politics.",13,8,1.625
3382,3382,Hillary Clinton,More than two hundred fifty Americans were killed.,13,8,1.625
3383,3383,Hillary Clinton,The Democrats didnâ€™t make that a partisan issue.,13,8,1.625
3421,3421,Hillary Clinton,"Well, apologizing sooner, as soon as you can.",13,8,1.625
4162,4162,Bernie Sanders,Your millionaire and billionaire friends caused this problem.,13,8,1.625
4403,4403,Bernie Sanders,Your millionaire and billionaire friends caused this problem.,13,8,1.625
4813,4813,Bernie Sanders,This small country has welcomed in many refugees.,13,8,1.625
4825,4825,Bernie Sanders,We've got to eliminate the gun show loophole.,13,8,1.625
4856,4856,Bernie Sanders,The secretary is right: Our people are fearful.,13,8,1.625
4916,4916,Bernie Sanders,"Yes, of course Assad is a terrible dictator.",13,8,1.625
4961,4961,Bernie Sanders,"Secretary Clinton, I don't have a super PAC.",13,8,1.625
4973,4973,Bernie Sanders,Wall Street today has too much political power.,13,8,1.625
5378,5378,Bernie Sanders,Not what America is supposed to be about.,13,8,1.625
5458,5458,Bernie Sanders,I am running for president as a Democrat.,13,8,1.625
5929,5929,Bernie Sanders,And you know what the average contribution is?,13,8,1.625
6126,6126,Bernie Sanders,So it's easy for politicians to give speeches.,13,8,1.625
6386,6386,Ted Cruz,They are looking to our temperament and judgment.,13,8,1.625
6784,6784,Ted Cruz,Because -- because Donald's mother was born in Scotland.,13,8,1.625
6871,6871,Ted Cruz,It enables us to eliminate the death tax.,13,8,1.625
6956,6956,Ted Cruz,The new program covers nearly one hundred percent.,13,8,1.625
7034,7034,Ted Cruz,Now we've seen what happened in San Bernardino.,13,8,1.625
7137,7137,Ted Cruz,"No income taxes, no payroll taxes, no nothing.",13,8,1.625
7310,7310,Ted Cruz,She sees her cost of electricity going up.,13,8,1.625
7361,7361,Ted Cruz,Thatâ€™s what these videos show Planned Parenthood doing.,13,8,1.625
8168,8168,Marco Rubio,They are beginning to pop up in Afghanistan.,13,8,1.625
8325,8325,Marco Rubio,The air component also needs to be modernized.,13,8,1.625
8944,8944,Ben Carson,Iâ€™m the only one to separate siamese twins.,13,8,1.625
9710,9710,Chris Christie,"Sheâ€™s the real opponent, sheâ€™s the real problem.",13,8,1.625
10049,10049,Chris Christie,What reckless is is calling Assad a reformer.,13,8,1.625
10229,10229,Chris Christie,That's wrong for hardworking taxpayers in this country.,13,8,1.625
10315,10315,Chris Christie,Hillary Rodham Clinton did that to our country.,13,8,1.625
10551,10551,Chris Christie,The prison population has gone down ten percent.,13,8,1.625
10709,10709,Rand Paul,I don't think she's responsible for his behavior.,13,8,1.625
10777,10777,Rand Paul,It would defy every norm that is America.,13,8,1.625
10858,10858,Rand Paul,We are not projecting power from bankruptcy court.,13,8,1.625
10907,10907,Rand Paul,We should negotiate from a position of strength.,13,8,1.625
10972,10972,Rand Paul,I'm the only fiscal conservative on the stage.,13,8,1.625
10990,10990,Rand Paul,Right and left are spending us into oblivion.,13,8,1.625
11132,11132,Rand Paul,â€ù We have to learn sometimes the interventions backfire.,13,8,1.625
11249,11249,Rand Paul,I donâ€™t trust President Obama with our records.,13,8,1.625
11836,11836,Jeb Bush,"Which means, that you create a stable situation.",13,8,1.625
11930,11930,Jeb Bush,One in seven people are living in poverty.,13,8,1.625
11996,11996,Jeb Bush,We're not -- we shouldn't have another financial crisis.,13,8,1.625
12160,12160,Jeb Bush,I think the voters will make that determination.,13,8,1.625
12676,12676,John Kasich,"Because most of the time, they're absolutely correct.",13,8,1.625
12869,12869,John Kasich,And they came back with twenty three recommendations.,13,8,1.625
13019,13019,John Kasich,"Hello, Iâ€™m John Kasich, the Governor of Ohio.",13,8,1.625
13319,13319,John Kasich,Just like getting rid of Medicare and Medicaid.,13,8,1.625
13471,13471,John Kasich,But my elections are really not about campaigns.,13,8,1.625
13514,13514,Martin O'Malley,I'm running for president of the United States.,13,8,1.625
13746,13746,Martin O'Malley,"Our country's doing better, we're creating jobs again.",13,8,1.625
13942,13942,Martin O'Malley,The federal government should have to get warrants.,13,8,1.625
14136,14136,Martin O'Malley,We must anticipate these threats before they happen.,13,8,1.625
14454,14454,Martin O'Malley,What we need is a green energy revolution.,13,8,1.625
2725,2725,Hillary Clinton,"I believe that America has the opportunity to once again live by our values, live up to our values in the twenty onest century, but I think that America can only do that if Americans can succeed.",60,37,1.621621622
6983,6983,Ted Cruz,"Yes, it is true that I voted against the National Defense Authorization Act, because when I campaigned in Texas I told voters in Texas that I would oppose the federal government having the authority to detain U.",60,37,1.621621622
13845,13845,Martin O'Malley,"And that is that we still don't have the human intelligence: overt, in terms of diplomatic intelligence or covert, to understand even what the heck happens as the secondary and tertiary effects of some of these things.",60,37,1.621621622
2221,2221,Hillary Clinton,"I worry greatly that the rhetoric coming from the Republicans, particularly Donald Trump, is sending a message to Muslims here in the United States and literally around the world that there is a clash of civilizations, that there is some kind of Western plot or even war against Islam, which then I believe fans the flames of radicalization.",94,58,1.620689655
4670,4670,Bernie Sanders,"Because every issue that I am talking aboutâ€“ paid family and medical leave, breaking up the banks on Wall Street, asking the wealth to pay their fair share of taxes, rebuilding our crumbling infrastructure, raising the minimum wage to fifteen bucks an hour â€” every one of those issues is supported by a significant majority of the American people.",94,58,1.620689655
3647,3647,Hillary Clinton,The very explicit appeal that President Bush made before announcing the invasion that getting that vote would be a strong piece of leverage in order to finish the inspections.,47,29,1.620689655
5987,5987,Bernie Sanders,"What we are going to fight for is a Medicare for All single payer program, which would provide comprehensive health care to your family and every family in America.",47,29,1.620689655
7508,7508,Marco Rubio,"And when I'm elected president, this will become once again, the single greatest nation in the history of the world, not the disaster Barack Obama has imposed upon us.",47,29,1.620689655
1671,1671,Hillary Clinton,"And I think we have an opportunity here â€” and I know that inside the administration this is being hotly debated â€” to get that leverage to try to get the Russians to have to deal with everybody in the region and begin to move toward a political, diplomatic solution in Syria.",81,50,1.62
4908,4908,Bernie Sanders,"And in my view, what we need to do is put together broad coalitions to understand that we're not going to have a political vacuum filled by terrorists, that, in fact, we are going to move steadily -- and maybe slowly -- toward democratic societies, in terms of Assad, a terrible dictator.",81,50,1.62
5489,5489,Bernie Sanders,"I heard the arguments coming from Democrats and Republicans â€” Robert Rubin, Alan Greenspan â€” about great an idea it would be if we did away with Glass- Steagall and if we allowed investor banks and commercial banks and big insurance companies to merge.",68,42,1.619047619
2061,2061,Hillary Clinton,And I will also go after executives who are responsible for the decisions that have such bad consequences for our country.,34,21,1.619047619
2709,2709,Hillary Clinton,"We need to be reaching out and unifying our country against terrorist attacks and lone wolves, and working with Muslim Americans.",34,21,1.619047619
2985,2985,Hillary Clinton,"I think thereâ€™s where we can enlist the veterans service organizations, the veterans of America, because, yes, letâ€™s fix the V.",34,21,1.619047619
3381,3381,Hillary Clinton,"When Ronald Reagan was president in one thousand nine hundred eighty three, our Marine barracks, our embassy were attacked in Beirut.",34,21,1.619047619
3633,3633,Hillary Clinton,"I, I have to think about whether I think it's necessary to go as far as our military officers are recommending.",34,21,1.619047619
3637,3637,Hillary Clinton,I have a hard time imagining the kind of national emergency that would require the use of the Selective Service system.,34,21,1.619047619
3703,3703,Hillary Clinton,"They want to rig the economy so they continue to get richer and richer, they could care less about income inequality.",34,21,1.619047619
4573,4573,Bernie Sanders,Now what we have to take on is the pharmaceutical industry that is ripping off the American people every single day.,34,21,1.619047619
4671,4671,Bernie Sanders,"The problem is, that as a result of a corrupt campaign finance system, Congress is not listening to the American people.",34,21,1.619047619
6814,6814,Ted Cruz,"He launched Fast and Furious, illegally selling guns to Mexican drug lords that were then used to shoot law enforcement officials.",34,21,1.619047619
6912,6912,Ted Cruz,"I want to speak to all of those maddened by political correctness, where Hillary Clinton apologizes for saying all lives matter.",34,21,1.619047619
7117,7117,Ted Cruz,"And, you know, I understand that when the mainstream media covers immigration, it doesn't often see it as an economic issue.",34,21,1.619047619
7444,7444,Ted Cruz,"I have never supported amnesty, and I led the fight against Chuck Schumerâ€™s gang of eight amnesty legislation in the Senate.",34,21,1.619047619
8609,8609,Marco Rubio,"He will also, then, turn to other countries in the region and say, â€œAmerica is no longer a reliable ally, Egypt.",34,21,1.619047619
10008,10008,Chris Christie,And yet they continue to debate about this bill and in the subcommittee and what -- nobody in America cares about that.,34,21,1.619047619
11258,11258,Rand Paul,"If thereâ€™s going to be a negotiation, youâ€™re going to have to believe somehow that the Iranians are going to comply.",34,21,1.619047619
11440,11440,Jeb Bush,"Where we abolished partial-birth abortion, where parents have the right to be notified when their teenage child is having an abortion.",34,21,1.619047619
11967,11967,Jeb Bush,"We're losing now over $five hundred billion in terms of imbalance with China, $seventy five billion a year imbalance with Japan.",34,21,1.619047619
12277,12277,Jeb Bush,Name a country where our relationship is better today than it was the â€” the day that Barack Obama got elected president.,34,21,1.619047619
12491,12491,Jeb Bush,Campaigning in places to give people hope that their life is better because too many people are suffering today in America.,34,21,1.619047619
4578,4578,Bernie Sanders,"I want to end the international embarrassment of the United States of America being the only major country on earth that doesnâ€™t guarantee health care to all people as a right, not a privilege.",55,34,1.617647059
8502,8502,Marco Rubio,"But I'm not worried about my finances, I'm worried about the finances of everyday Americans who today are struggling in an economy that is not producing good paying jobs while everything else costs more.",55,34,1.617647059
5028,5028,Bernie Sanders,"She is disagreeing with FDR on Social Security, LBJ on Medicare and with the vast majority of progressive Democrats in the House and the Senate, who today are fighting to end the disgrace of the United States being the only major country on Earth that doesn't provide paid family and medical leave.",84,52,1.615384615
1951,1951,Hillary Clinton,"think with this kind of barbarism and nihilism, itâ€™s very hard to understand, other than the lust for power, the rejection of modernity, the total disregard for human rights, freedom, or any other value that we know and respect.",63,39,1.615384615
6849,6849,Ted Cruz,"First, we should pass the Expatriate Terrorist Act, legislation I've introduced that says if an American goes and joins ISIS and wages jihad against America, that you forfeit your citizenship and you can not come in on a passport.",63,39,1.615384615
8626,8626,Marco Rubio,"The reason why I opposed President Obama bombing Syria, is because he couldnâ€™t answer the question what do you do if chemical weapons end up in the hands of radical Islamic terrorists like al-Nusra, like Al Qaida, like ISIS?",63,39,1.615384615
32,32,Donald Trump,"Except the reporters, because theyâ€™re a very dishonest lot, generally speaking, in the world of politics, they didnâ€™t cover my statement the way I said it.",42,26,1.615384615
1623,1623,Hillary Clinton,"But we found ways to work together on everything from reforming foster care and adoption to the Childrenâ€™s Health Insurance Program, which insures eight million kids.",42,26,1.615384615
2738,2738,Hillary Clinton,And I donâ€™t want to rip away the security that people finally have; eighteen million people now have healthcare; preexisting conditions are no longer a bar.,42,26,1.615384615
4946,4946,Bernie Sanders,That is why I'm going to have a tax on Wall Street speculation to make certain that public colleges and universities in America are tuition free.,42,26,1.615384615
5006,5006,Bernie Sanders,And that is that we have some colleges and universities that are spending a huge amount of money on fancy dormitories and on giant football stadiums.,42,26,1.615384615
6020,6020,Bernie Sanders,"In the last election where Republicans won a huge victory, sixty three percent of the American people didn't vote, eighty percent of young people didn't vote.",42,26,1.615384615
7071,7071,Ted Cruz,"We need a commander in chief who does what Ronald Reagan did with communism, which is he set out a global strategy to defeat Soviet communism.",42,26,1.615384615
7447,7447,Ted Cruz,"When I asked General Dempsey, the chairman of the joint chiefs, what would be required militarily to destroy ISIS, he said there is no military solution.",42,26,1.615384615
7826,7826,Marco Rubio,"At the time, the liberal governor of Florida, who claimed he was a Republican -- his name was Charlie Crist -- he wanted to impose cap-and-trade on Florida.",42,26,1.615384615
7912,7912,Marco Rubio,"You will be the first Americans that get to answer the fundamental question, what comes next for this country after seven disastrous years of Barack Obama?",42,26,1.615384615
7920,7920,Marco Rubio,"In fact, one of her first acts as president may very well be to pardon herself because Hillary Clinton stored classified information on her private server.",42,26,1.615384615
7922,7922,Marco Rubio,And anyone who lies to the families of Americans who have died in the service of this country can never be commander-in-chief of the United States.,42,26,1.615384615
9460,9460,Ben Carson,"phone calls than everybody here put together, making life and death decisions, put together very complex teams to accomplish things that have never been done before.",42,26,1.615384615
10877,10877,Rand Paul,"But the bottom line is, if you want less income inequality, move to a city with a Republican mayor or a state with a Republican governor.",42,26,1.615384615
12130,12130,Jeb Bush,"I have no clue whether the federal government is the proper place, my instinct is to say, hell no, just about everything about the federal government.",42,26,1.615384615
13534,13534,Martin O'Malley,"In one thousand nine hundred ninety nine, our city of Baltimore had become the most violent, the most addicted and the most abandoned city in America.",42,26,1.615384615
13833,13833,Martin O'Malley,"And Andrea, the -- I had to make more cuts than any governor in the history of Maryland, but we invested more in infrastructure, more in transportation.",42,26,1.615384615
1025,1025,Donald Trump,"But I will tell you, I am totally committed to the Republican Party.",21,13,1.615384615
1279,1279,Donald Trump,"Maria -- Maria, what you were talking about just now is called corporate inversion.",21,13,1.615384615
2092,2092,Hillary Clinton,Iâ€™m all about making sure we actually get results for whatever we do.,21,13,1.615384615
2184,2184,Hillary Clinton,Because I don't think the American people are all that interested in this.,21,13,1.615384615
2668,2668,Hillary Clinton,"And so, they have been so far, following their requirements under the agreement.",21,13,1.615384615
3669,3669,Hillary Clinton,"And I have had to learn to take criticism seriously, but not personally.",21,13,1.615384615
4230,4230,Bernie Sanders,"We have got to be extremely aggressive in working with China, India, Russia.",21,13,1.615384615
4471,4471,Bernie Sanders,"We have got to be extremely aggressive in working with China, India, Russia.",21,13,1.615384615
4705,4705,Bernie Sanders,"No, it is not throwing â€” it is an extraordinary investment for this country.",21,13,1.615384615
4928,4928,Bernie Sanders,"The United States, at the same time, cannot successfully fight Assad and ISIS.",21,13,1.615384615
5001,5001,Bernie Sanders,The average middle- class family will be saving thousands of dollars a year.,21,13,1.615384615
5108,5108,Bernie Sanders,"Well, I think Secretary Clinton knows that what she says is very disingenuous.",21,13,1.615384615
5438,5438,Bernie Sanders,I disagree with him on a number of issues including the trade agreement.,21,13,1.615384615
5613,5613,Bernie Sanders,So please donâ€™t suggest that I think we normalize relations with Tehran tomorrow.,21,13,1.615384615
5918,5918,Bernie Sanders,"Millions of people come together and say loudly and clearly, enough is enough.",21,13,1.615384615
7020,7020,Ted Cruz,The question of whether we should toppling dictatorships is asking the wrong question.,21,13,1.615384615
7050,7050,Ted Cruz,"I've laid out a very, very detailed immigration plan on my website, tedcruz.",21,13,1.615384615
7324,7324,Ted Cruz,"In my family, my dad fled oppression in Cuba to come to America.",21,13,1.615384615
7393,7393,Ted Cruz,"I wouldnâ€™t have nominated John Roberts, and indeed, Governor Bush pointed out why.",21,13,1.615384615
7638,7638,Marco Rubio,"This administration cut a deal with their mortal enemies, the Shia, in Iran.",21,13,1.615384615
7668,7668,Marco Rubio,That two thousand sixteen is not just a choice between Republican or Democrat.,21,13,1.615384615
8794,8794,Marco Rubio,I would add to that that this election cannot be a resume competition.,21,13,1.615384615
8900,8900,Ben Carson,What I agree with is that we need a significantly changed taxation system.,21,13,1.615384615
9001,9001,Ben Carson,"But, Iâ€™m also looking at what doctor â€” at what Governor Huckabee talked about|",21,13,1.615384615
9254,9254,Ben Carson,We have to come back to the fundamental principles that made America great.,21,13,1.615384615
10219,10219,Chris Christie,"seventy five percent, because thirty five percent of zero is zero, but eight.",21,13,1.615384615
10346,10346,Chris Christie,That's get rid of Planned Parenthood funding from the United States of America.,21,13,1.615384615
10748,10748,Rand Paul,We are not any safer through the bulk collection of all Americans' records.,21,13,1.615384615
11509,11509,Jeb Bush,And I believe that Puerto Rico ought to have the right of self-determination.,21,13,1.615384615
11653,11653,Jeb Bush,"Last week, Secretary Carter announced that the Navy's going to be cut again.",21,13,1.615384615
11757,11757,Jeb Bush,"I ask for your support to build, together, a safer and stronger America.",21,13,1.615384615
11870,11870,Jeb Bush,Coming here legally needs to be a lot easier than coming here illegally.,21,13,1.615384615
12140,12140,Jeb Bush,"Because of all the federal mandates and federal laws, it was too expensive.",21,13,1.615384615
12262,12262,Jeb Bush,"Even though they do speak English, and even though they embrace American values.",21,13,1.615384615
12348,12348,Jeb Bush,nine hundred ninety nine percent of the people that are law- abiding citizens.,21,13,1.615384615
12385,12385,Jeb Bush,Because I vetoed two thousand five hundred separate line- items in the budget.,21,13,1.615384615
12635,12635,John Kasich,"Chris there was a question about foreign policy, by the way, and experience.",21,13,1.615384615
12906,12906,John Kasich,We'll never get there if republicans and democrats just fight with one another.,21,13,1.615384615
